Channel	ch	url0
2+2	2+2	https://vs845.vcdn.biz/3404295c1299844432abc2e0abf794a3_megogo/live/hls/b/700_2490_4000/vo/63b1fc17d242847d141296c9/o/28887161/rsid/55724914-ef53-4c63-a13f-6f4a8d213b2b/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid1042233328140446275-b700000_5431089611_14121244_530724_1672808436.ts
M1	m1	https://vs825.vcdn.biz/c433fd6a499be2ea6c3f6d3c9a288a59_megogo/live/hls/b/700_2490_4000/vo/63a7d211d242847d14f5d12a/o/25401521/rsid/12cef533-a539-41cb-b978-7570d8cb0b32/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid3290566283231230176-b700000-a2451_5420309781_21760436_495944_1672459228.ts
M2	m2	https://vs835.vcdn.biz/dd1dad607c58c8178da874442836bd0c_megogo/live/hls/b/700_2490_4000/vo/63afc91fd242847d140c0947/o/25401541/rsid/f244bdd9-1a89-40e4-a40d-443c592f69ce/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid8179896422927578447-b700000-a2441_5425549841_51071516_444996_1672635692.ts
BIGUDI	bigudi	https://vs830.vcdn.biz/add66679429f4911f58bc1d71e0e5ca2_megogo/live/hls/b/700_2490_4000/vo/63b1fc24d242847d1412a019/o/29514261/rsid/8af4abd0-e4f8-45c6-8efb-af0dc8b9a23b/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid8013677269447406493-b700000_5430068291_66457624_483912_1672776332.ts
OCE	oce	https://vs822.vcdn.biz/bab0e56aaf8da5af635a4524434ded36_megogo/live/hls/b/700_2490_4000/vo/63a8cf5fd242847d14f8aede/o/25401361/rsid/aa026648-83ce-45c6-8cc0-b66683ff5296/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid4279038121799351006-b700000-a3461_5423129071_16533096_477332_1672554040.ts
PLUSPLUS	plusplus	https://vs831.vcdn.biz/df4314c6666858be5258f6980efc23ee_megogo/live/hls/b/700_2490_4000/vo/63a8cf2fd242847d14f8974d/o/29514191/rsid/fdd57fe4-7723-4693-9005-ce8022458479/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid6563597200610126856-b700000_5423417261_19779856_427700_1672564584.ts
K1	k1	https://vs839.vcdn.biz/dbf5d68a68715be51996273dc4524a87_megogo/live/hls/b/700_2490_4000/vo/63aa0495d242847d14fc060d/o/25455151/rsid/139989a6-ece3-47f5-91ab-72fb007c1c35/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid8420238575450985985-b700000_5423127891_24667668_430520_1672554076.ts
ENTER FILM	enter	https://vs841.vcdn.biz/fc810ea5879e9fd383944c5e5268b1b4_megogo/live/hls/b/700_2490_4000/vo/63b60b5ad242847d141e71f9/o/25455171/rsid/3b93588d-6115-4abc-9433-814797d9f9a0/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid6472752346514639453-b700000_5431097851_94601224_466992_1672809452.ts
MEGA	mega	https://vs844.vcdn.biz/d811800727d4ff6b44de7dc82dbce77d_megogo/live/hls/b/700_2490_4000/vo/63b1fc2ad242847d1412a334/o/25455291/rsid/3ec210e9-1d52-4af6-a72b-7160d63e1156/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid5483239595374697762-b700000-a3481_5427713131_62419760_417924_1672710388.ts
PIXEL	pixel	https://vs843.vcdn.biz/11206735380681f5b28d685f6e01b019_megogo/live/hls/b/700_2490_4000/vo/63b1fc30d242847d1412a644/o/25455311/rsid/6f160025-2b21-4a87-9161-997ad58cdaa2/u_uid/1172092766/u_vod/4/u_device/cms_html5/u_devicekey/_site/lip/109.68.46.114*asn/u_srvc/64401/te/1674241611/u_did/MToxMTcyMDkyNzY2OjE2NzI5OTc3NDg6OjI1MDk0YmVmN2E4YmYxYzJkNDZmMTlkYzE5ZGJmYzVh/type.live/media-sid5005562894093122975-b700000_5431763361_43502260_451764_1672830140.ts
